timestamp,object,alert_type,x,y
2024-10-30T13:45:18.617475,person,Suspicious Movement Detected,501,203
2024-10-30T13:45:19.145627,person,Suspicious Movement Detected,499,204
2024-10-30T13:45:19.891749,person,Suspicious Movement Detected,499,205
2024-10-30T13:45:20.614369,person,Suspicious Movement Detected,486,99
2024-10-30T13:46:38.727907,backpack,Suspicious Movement Detected,505,97
2024-10-30T13:46:39.481709,backpack,Suspicious Movement Detected,505,97
2024-10-30T13:46:40.187863,backpack,Suspicious Movement Detected,505,97
2024-10-30T13:46:58.950979,person,Suspicious Movement Detected,499,204
2024-10-30T13:46:59.243990,person,Suspicious Movement Detected,499,205
2024-10-30T13:46:59.544659,person,Suspicious Movement Detected,486,99
2024-10-30T13:47:44.379543,backpack,Suspicious Movement Detected,506,97
2024-10-30T13:47:45.090836,backpack,Suspicious Movement Detected,506,97
2024-10-30T13:47:45.534141,backpack,Suspicious Movement Detected,505,97
2024-10-30T13:47:45.914504,backpack,Suspicious Movement Detected,505,97
2024-10-30T13:47:46.225705,backpack,Suspicious Movement Detected,505,97
2024-10-30T13:48:02.995401,person,Suspicious Movement Detected,499,204
2024-10-30T13:48:03.321442,person,Suspicious Movement Detected,499,205
2024-10-30T13:48:03.584136,person,Suspicious Movement Detected,486,99
