timestamp,object,confidence,x,y
2024-10-29T11:23:34.165962,person,0.7616662383079529,489,141
2024-10-29T11:23:34.166955,person,0.7522426247596741,540,164
2024-10-29T11:23:34.458434,person,0.7632589936256409,489,141
2024-10-29T11:23:34.459434,person,0.7502458095550537,540,163
2024-10-29T11:23:34.867157,person,0.7428157925605774,489,141
2024-10-29T11:23:34.868158,person,0.7240117192268372,539,165
2024-10-29T11:23:35.388506,person,0.7226682305335999,538,165
2024-10-29T11:23:35.389520,person,0.6817954778671265,490,141
2024-10-29T11:23:35.906932,person,0.6598098874092102,538,164
2024-10-29T11:23:35.907933,person,0.6290550231933594,488,141
2024-10-29T11:23:36.222618,person,0.7061938643455505,538,167
2024-10-29T11:23:36.223618,person,0.6354137063026428,488,142
2024-10-29T11:23:36.468338,person,0.7093213796615601,538,167
2024-10-29T11:23:36.469338,person,0.6341705918312073,488,142
2024-10-29T11:23:36.739671,person,0.7709763050079346,536,169
2024-10-29T11:23:36.740673,person,0.7321890592575073,486,141
2024-10-29T11:23:36.969025,person,0.7794509530067444,534,170
2024-10-29T11:23:36.970020,person,0.7491942644119263,486,139
2024-10-29T11:23:37.206581,person,0.7598577737808228,531,171
2024-10-29T11:23:37.207578,person,0.716634213924408,486,138
2024-10-29T11:23:37.425328,person,0.6994441151618958,484,138
2024-10-29T11:23:37.427334,person,0.672920286655426,530,171
2024-10-29T11:23:37.654815,person,0.6979380249977112,484,138
2024-10-29T11:23:37.655826,person,0.6665271520614624,530,171
2024-10-29T11:23:37.911794,person,0.6762185096740723,530,173
2024-10-29T11:23:37.913836,person,0.6653658151626587,485,139
2024-10-29T11:23:38.274411,person,0.6464719176292419,529,176
2024-10-29T11:23:38.275416,person,0.6000226140022278,486,139
2024-10-29T11:23:38.499475,person,0.649591863155365,529,179
2024-10-29T11:23:38.499475,person,0.5639047026634216,486,139
2024-10-29T11:23:38.706835,person,0.6080943942070007,527,181
2024-10-29T11:23:38.709226,person,0.447359561920166,487,139
2024-10-29T11:23:39.186984,person,0.610062837600708,527,181
2024-10-29T11:23:39.187984,person,0.4476931691169739,487,138
2024-10-29T11:23:39.443418,person,0.58397376537323,524,183
2024-10-29T11:23:39.444672,person,0.35942551493644714,488,139
2024-10-29T11:23:39.716106,person,0.6050264239311218,521,184
2024-10-29T11:23:39.716106,person,0.3689480125904083,487,140
2024-10-29T11:23:39.967491,person,0.6810545921325684,518,185
2024-10-29T11:23:39.968491,person,0.33642858266830444,490,140
2024-10-29T11:23:40.221192,person,0.6381784081459045,516,185
2024-10-29T11:23:40.223085,person,0.3534955680370331,492,140
2024-10-29T11:23:40.532075,person,0.6349480748176575,516,185
2024-10-29T11:23:40.533081,person,0.3473970592021942,492,140
2024-10-29T11:23:40.786663,person,0.47719210386276245,514,184
2024-10-29T11:23:40.997261,person,0.40954121947288513,514,186
2024-10-29T11:23:41.236934,person,0.46004557609558105,515,185
2024-10-29T11:23:41.455890,person,0.558795154094696,514,186
2024-10-29T11:23:41.456894,person,0.25684547424316406,493,104
2024-10-29T11:23:41.664330,person,0.5619458556175232,514,186
2024-10-29T11:23:41.891386,person,0.6517993807792664,513,185
2024-10-29T11:23:41.892396,person,0.3066900670528412,494,105
2024-10-29T11:23:42.103963,person,0.5099844932556152,513,186
2024-10-29T11:23:42.104964,person,0.29808229207992554,494,104
2024-10-29T11:23:42.339471,person,0.46572673320770264,511,188
2024-10-29T11:23:42.340479,person,0.35598739981651306,495,103
2024-10-29T11:23:42.715426,person,0.5142188668251038,509,188
2024-10-29T11:23:42.716428,person,0.31254446506500244,497,94
2024-10-29T11:23:43.030006,person,0.5207616686820984,509,188
2024-10-29T11:23:43.031008,person,0.31814759969711304,496,94
2024-10-29T11:23:43.316292,person,0.5067293643951416,507,187
2024-10-29T11:23:43.316292,person,0.34422823786735535,497,90
2024-10-29T11:23:43.531855,person,0.4032653868198395,507,91
2024-10-29T11:23:43.533366,person,0.34265053272247314,507,187
2024-10-29T11:23:43.740329,person,0.5326914191246033,509,93
2024-10-29T11:23:43.741336,person,0.5276132225990295,506,187
2024-10-29T11:23:43.965707,person,0.47537657618522644,510,98
2024-10-29T11:23:43.966704,person,0.4637332558631897,506,187
2024-10-29T11:23:44.196831,person,0.5031981468200684,510,98
2024-10-29T11:23:44.197831,person,0.4837568700313568,505,186
2024-10-29T11:23:44.450008,person,0.6022213697433472,504,189
2024-10-29T11:23:44.451003,person,0.5400779843330383,511,103
2024-10-29T11:23:44.714354,person,0.6194815635681152,505,188
2024-10-29T11:23:44.716393,person,0.6003312468528748,511,103
2024-10-29T11:23:45.063091,person,0.6412189602851868,503,189
